Simulación,Secuencia,Peso [kg],V_Inicial_Z [m/s],V_Final_Z [m/s],KE_Inicial [J],KE_Final [J],KE_Abs [J],%KE_Abs [%]
case_0001_TTTTCCCCCCCC,TTTTCCCCCCCC,0.728438,180.5,39.94548797607422,814.50625,39.89105024116725,774.6151997588328,95.10242551961176
case_0002_TTTCTCCCCCCC,TTTCTCCCCCCC,0.728438,180.5,46.45145797729492,814.50625,53.94344870540991,760.5628012945901,93.3771596343908
case_0003_TTTCCTCCCCCC,TTTCCTCCCCCC,0.728438,180.5,61.0957260131836,814.50625,93.31719342694998,721.18905657305,88.54309670098296
case_0004_TTTCCCTCCCCC,TTTCCCTCCCCC,0.728438,180.5,49.33255386352539,814.50625,60.84252176744085,753.6637282325592,92.53013445047955
case_0005_TTTCCCCTCCCC,TTTCCCCTCCCC,0.728438,180.5,46.47215270996094,814.50625,53.99152443744825,760.5147255625518,93.37125719570007
case_0006_TTTCCCCCTCCC,TTTCCCCCTCCC,0.728438,180.5,54.06536865234375,814.50625,73.07660218784586,741.4296478121541,91.02811031985993
case_0007_TTTCCCCCCTCC,TTTCCCCCCTCC,0.728438,180.5,29.30148696899414,814.50625,21.464428464853338,793.0418215351467,97.36473127556071
case_0008_TTTCCCCCCCTC,TTTCCCCCCCTC,0.728438,180.5,57.2556037902832,814.50625,81.95510413474732,732.5511458652527,89.9380631965995
case_0009_TTTCCCCCCCCT,TTTCCCCCCCCT,0.728438,180.5,21.440105438232425,814.50625,11.491953030063092,803.0142969699369,98.58908964417853
case_0010_TTCTTCCCCCCC,TTCTTCCCCCCC,0.728438,180.5,-4.28500509262085,814.50625,0.4590317160946654,814.0472182839054,99.9436429473568
case_0011_TTCTCTCCCCCC,TTCTCTCCCCCC,0.728438,180.5,9.25690460205078,814.50625,2.1422570702867225,812.3639929297133,99.73698703106493
case_0012_TTCTCCTCCCCC,TTCTCCTCCCCC,0.728438,180.5,7.921481609344482,814.50625,1.5687467721795714,812.9375032278205,99.80739905038426
case_0013_TTCTCCCTCCCC,TTCTCCCTCCCC,0.728438,180.5,73.91854858398438,814.50625,136.59879561907147,677.9074543809286,83.22925138768777
case_0014_TTCTCCCCTCCC,TTCTCCCCTCCC,0.728438,180.5,57.911922454833984,814.50625,83.84476906036763,730.6614809396324,89.70606191660683
