Simulación,Secuencia,Peso_kg,Time,Vz
case_0011_TTCTCTCCCCCC,TTCTCTCCCCCC,0.728438,0.49236640334129333,-30.866289138793945
case_0011_TTCTCTCCCCCC,TTCTCTCCCCCC,0.728438,0.6500276923179626,-9.256904602050781
case_0012_TTCTCCTCCCCC,TTCTCCTCCCCC,0.728438,0.0,-180.5
case_0012_TTCTCCTCCCCC,TTCTCCTCCCCC,0.728438,0.16410349309444427,-94.68174743652344
case_0012_TTCTCCTCCCCC,TTCTCCTCCCCC,0.728438,0.3282255232334137,-55.266990661621094
case_0012_TTCTCCTCCCCC,TTCTCCTCCCCC,0.728438,0.4923652112483978,-29.852046966552734
case_0012_TTCTCCTCCCCC,TTCTCCTCCCCC,0.728438,0.6500212550163269,-7.921481609344482
case_0014_TTCTCCCCTCCC,TTCTCCCCTCCC,0.728438,0.0,-180.5
case_0014_TTCTCCCCTCCC,TTCTCCCCTCCC,0.728438,0.16411863267421722,-98.14476013183594
case_0014_TTCTCCCCTCCC,TTCTCCCCTCCC,0.728438,0.3282262086868286,-71.63694763183594
case_0014_TTCTCCCCTCCC,TTCTCCCCTCCC,0.728438,0.49236205220222473,-61.20624923706055
case_0014_TTCTCCCCTCCC,TTCTCCCCTCCC,0.728438,0.6500219106674194,-57.911922454833984
case_0013_TTCTCCCTCCCC,TTCTCCCTCCCC,0.728438,0.0,-180.5
case_0013_TTCTCCCTCCCC,TTCTCCCTCCCC,0.728438,0.1641172170639038,-101.25212860107422
case_0013_TTCTCCCTCCCC,TTCTCCCTCCCC,0.728438,0.3282475769519806,-80.64460754394531
case_0013_TTCTCCCTCCCC,TTCTCCCTCCCC,0.728438,0.492349237203598,-74.908203125
case_0013_TTCTCCCTCCCC,TTCTCCCTCCCC,0.728438,0.650008499622345,-73.91854858398438
case_0015_TTCTCCCCCTCC,TTCTCCCCCTCC,0.728438,0.0,-180.5
case_0015_TTCTCCCCCTCC,TTCTCCCCCTCC,0.728438,0.16409891843795776,-104.00604248046875
case_0015_TTCTCCCCCTCC,TTCTCCCCCTCC,0.728438,0.3282319903373718,-89.2304916381836
case_0015_TTCTCCCCCTCC,TTCTCCCCCTCC,0.728438,0.492358922958374,-84.22393035888672
case_0015_TTCTCCCCCTCC,TTCTCCCCCTCC,0.728438,0.6500204205513,-82.91746520996094
case_0016_TTCTCCCCCCTC,TTCTCCCCCCTC,0.728438,0.0,-180.5
case_0016_TTCTCCCCCCTC,TTCTCCCCCCTC,0.728438,0.1641136109828949,-99.2353515625
case_0016_TTCTCCCCCCTC,TTCTCCCCCCTC,0.728438,0.3282300531864166,-70.13970947265625
case_0016_TTCTCCCCCCTC,TTCTCCCCCCTC,0.728438,0.49237242341041565,-60.803123474121094
case_0016_TTCTCCCCCCTC,TTCTCCCCCCTC,0.728438,0.6500036120414734,-58.792625427246094
case_0018_TTCCTTCCCCCC,TTCCTTCCCCCC,0.728438,0.0,-180.5
case_0018_TTCCTTCCCCCC,TTCCTTCCCCCC,0.728438,0.1641126275062561,-95.72228240966797
case_0018_TTCCTTCCCCCC,TTCCTTCCCCCC,0.728438,0.32823941111564636,-70.95903778076172
case_0018_TTCCTTCCCCCC,TTCCTTCCCCCC,0.728438,0.49234846234321594,-60.37579345703125
case_0018_TTCCTTCCCCCC,TTCCTTCCCCCC,0.728438,0.6500217318534851,-56.88679504394531
case_0017_TTCTCCCCCCCT,TTCTCCCCCCCT,0.728438,0.0,-180.5
case_0017_TTCTCCCCCCCT,TTCTCCCCCCCT,0.728438,0.16412146389484406,-100.56175231933594
case_0017_TTCTCCCCCCCT,TTCTCCCCCCCT,0.728438,0.32823416590690613,-74.50472259521484
case_0017_TTCTCCCCCCCT,TTCTCCCCCCCT,0.728438,0.49235689640045166,-65.78033447265625
case_0017_TTCTCCCCCCCT,TTCTCCCCCCCT,0.728438,0.6500021815299988,-63.89591598510742
case_0020_TTCCTCCTCCCC,TTCCTCCTCCCC,0.728438,0.0,-180.5
case_0020_TTCCTCCTCCCC,TTCCTCCTCCCC,0.728438,0.16409945487976074,-97.23713684082031
case_0020_TTCCTCCTCCCC,TTCCTCCTCCCC,0.728438,0.3282237946987152,-69.25091552734375
case_0020_TTCCTCCTCCCC,TTCCTCCTCCCC,0.728438,0.49236196279525757,-61.07628631591797
case_0020_TTCCTCCTCCCC,TTCCTCCTCCCC,0.728438,0.6500121355056763,-57.45256805419922
case_0019_TTCCTCTCCCCC,TTCCTCTCCCCC,0.728438,0.0,-180.5
case_0019_TTCCTCTCCCCC,TTCCTCTCCCCC,0.728438,0.16410386562347412,-96.18540954589844
case_0019_TTCCTCTCCCCC,TTCCTCTCCCCC,0.728438,0.32822954654693604,-63.86480712890625
case_0019_TTCCTCTCCCCC,TTCCTCTCCCCC,0.728438,0.49237367510795593,-49.38438034057617
case_0019_TTCCTCTCCCCC,TTCCTCTCCCCC,0.728438,0.6500131487846375,-43.64201736450195
case_0021_TTCCTCCCTCCC,TTCCTCCCTCCC,0.728438,0.0,-180.5
case_0021_TTCCTCCCTCCC,TTCCTCCCTCCC,0.728438,0.16411654651165009,-98.56165313720703
case_0021_TTCCTCCCTCCC,TTCCTCCCTCCC,0.728438,0.32822126150131226,-62.331443786621094
case_0021_TTCCTCCCTCCC,TTCCTCCCTCCC,0.728438,0.49237260222435,-41.46519088745117
case_0021_TTCCTCCCTCCC,TTCCTCCCTCCC,0.728438,0.6500040292739868,-27.47779655456543
case_0022_TTCCTCCCCTCC,TTCCTCCCCTCC,0.728438,0.0,-180.5
